$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
006037,FA-655,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
00A1B7,41399,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
00B88D,401,,C130,C130,Mil,tar1090-db import,,,,
00B89B,409,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
00D0F6,3925,,SB39,SB39,Mil,tar1090-db import,,,,
00D22B,2027,,PC7,PC7,Mil,tar1090-db import,,,,
00D595,2040,,PC7,PC7,Mil,tar1090-db import,,,,
00E45E,ZS-QPB,,PC7,PC7,Mil,tar1090-db import,,,,
00ECCD,ZT-JBA,,PC7,PC7,Mil,tar1090-db import,,,,
010071,4801,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010072,SU-BKW,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010073,SU-BKX,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010074,SU-BLA,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010075,SU-BAB,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010077,SU-BAD,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010078,SU-BAE,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010079,SU-BAF,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007A,SU-BAI,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007B,SU-BAJ,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007E,SU-BAM,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010080,SU-BAP,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010082,SU-BAR,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010083,SU-BAS,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010086,SU-BAV,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010089,SU-BEY,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008B,SU-BKT,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008C,SU-BKU,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008D,SU-BPJ,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
0100C6,SU-BAX,,BE20,BE20,Mil,tar1090-db import,,,,
0100D1,SU-BPM,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
0100D2,SU-BPN,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
0100D3,SU-BPO,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
01012C,SU-BPL,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010164,SU-BRP,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010165,SU-BRQ,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
